POINT_FID,COUNT,AREA,MEAN,CLASS,YEAR
0,11314,707125000.0,0.0024748099699499998,barren,1939
1,11315,707187499.9999999,0.0,barren,1939
2,11315,707187499.9999999,0.0,barren,1939
3,11300,706249999.9999999,0.0,barren,1939
4,11311,706937500.0,0.0,barren,1939
5,8368,523000000.00000006,0.0,barren,1939
6,11316,707249999.9999999,0.0,barren,1939
7,11305,706562500.0,0.0055727554179599995,barren,1939
8,11313,707062500.0,0.0,barren,1939
9,11315,707187499.9999999,0.0,barren,1939
10,11311,706937500.0,0.000265228538591,barren,1939
11,11315,707187499.9999999,0.0,barren,1939
12,11306,706625000.0,0.0,barren,1939
13,1414,88375000.0,0.032531824611,barren,1939
14,11313,707062500.0,0.0,barren,1939
15,11309,706812500.0000001,0.0007074011848969999,barren,1939
16,11317,707312500.0000001,0.00114871432358,barren,1939
17,11307,706687500.0000001,0.0,barren,1939
18,6480,405000000.0,0.0,barren,1939
19,11309,706812500.0000001,0.0,barren,1939
20,11316,707249999.9999999,0.00141392718275,barren,1939
21,11312,707000000.0,0.0,barren,1939
22,11310,706875000.0,0.0,barren,1939
23,11311,706937500.0,0.0023870568473200004,barren,1939
24,8294,518375000.00000006,0.0,barren,1939
25,11311,706937500.0,0.0007072761029089999,barren,1939
26,11311,706937500.0,0.0,barren,1939
27,10041,627562499.9999999,0.0,barren,1939
28,11305,706562500.0,0.00017691287041099997,barren,1939
29,11312,707000000.0,0.0,barren,1939
30,11308,706750000.0000001,0.00044216483905199996,barren,1939
31,11305,706562500.0,0.0,barren,1939
32,10232,639500000.0,0.0024433150899099997,barren,1939
33,11318,707375000.0,0.0,barren,1939
34,11299,706187499.9999999,0.0007965306664310002,barren,1939
35,10931,683187500.0000001,0.00173817583021,barren,1939
36,11299,706187499.9999999,0.0,barren,1939
37,11318,707375000.0,0.0,barren,1939
38,11306,706625000.0,0.00353794445427,barren,1939
39,11310,706875000.0,0.00044208664898300005,barren,1939
40,10797,674812500.0000001,0.00129665647865,barren,1939
41,11318,707375000.0,0.0,barren,1939
42,11307,706687500.0000001,0.0,barren,1939
43,11300,706249999.9999999,0.000884955752212,barren,1939
44,10391,649437500.0,0.0266576845347,barren,1939
45,11318,707375000.0,0.0,barren,1939
46,11305,706562500.0,0.00672268907563,barren,1939
47,11310,706875000.0,0.0,barren,1939
48,11312,707000000.0,0.0,barren,1939
49,11315,707187499.9999999,0.0025629695095,barren,1939
50,10037,627312500.0000001,0.019228853243,barren,1939
51,11318,707375000.0,0.00044177416504699997,barren,1939
52,9261,578812500.0000001,0.0072346398877,barren,1939
53,8712,544500000.0,0.00803489439853,barren,1939
54,11312,707000000.0,0.0,barren,1939
55,11316,707249999.9999999,0.0,barren,1939
56,7929,495562499.99999994,0.0,barren,1939
57,10797,674812500.0000001,0.0,barren,1939
58,11310,706875000.0,0.0,barren,1939
59,11308,706750000.0000001,0.00371418464804,barren,1939
60,11310,706875000.0,0.0,barren,1939
61,11310,706875000.0,0.0,barren,1939
62,10819,676187500.0000001,0.0,barren,1939
63,11297,706062500.0000001,0.0,barren,1939
64,11311,706937500.0,0.0,barren,1939
65,11305,706562500.0,0.00451127819549,barren,1939
66,11302,706374999.9999999,0.0,barren,1939
67,11310,706875000.0,0.00053050397878,barren,1939
68,9101,568812500.0,0.00648280408746,barren,1939
69,11311,706937500.0,0.0,barren,1939
70,11309,706812500.0000001,0.00212220355469,barren,1939
71,11309,706812500.0000001,0.0,barren,1939
72,11143,696437500.0,0.000897424391995,barren,1939
