POINT_FID,site,lon,lat,tmin_1930s,tmin_1940s,tmin_1950s,tmin_1960s,tmin_1970s,tmin_1980s,tmin_1990s,tmin_2000s,tmin_2010s,geometry,ppt_1930s,ppt_1940s,ppt_1950s,ppt_1960s,ppt_1970s,ppt_1980s,ppt_1990s,ppt_2000s,ppt_2010s
0,Aiken US-SC,-81.617906,33.563557,7.30431686,7.280904243,6.419276759,5.676442736,6.234304605,6.082224551,6.024905797,6.024888155,6.763836345,"c(1321072.92304883, 1266369.51728442)",34652.58841,43103.40504,35633.07584,35448.80964,41166.83348,42558.29035,48255.5764,42497.46589,45876.92372
1,Albany County US-NY,-73.898028,42.504645,-1.499287947,-1.641294038,-1.208371622,-2.039408803,-1.90227702,-2.401559578,-1.295205718,-1.016736553,-0.271368356,"c(1788892.51796323, 2376310.69901198)",36221.71734,40612.89261,48528.51063,37733.28155,47956.57032,37604.12171,44489.66636,53451.27196,48375.02261
2,Ames US-IA,-93.571139,42.007691,-1.972093264,-1.535178812,-2.27822246,-2.040327085,-2.790254627,-3.232234446,-2.353820884,-2.303133842,-1.965130225,"c(199769.537827214, 2114325.71196856)",23592.92445,24980.73414,17969.50886,18072.48981,27437.8785,27350.0264,23712.16768,27255.42723,27885.3764
3,Ann Arbor US-MI,-83.778123,42.3172,-0.507608168,-0.169797333,-0.500450562,-0.604203143,-0.486337675,-0.940841188,-0.366376215,-0.499708453,-0.12907072,"c(998128.743935896, 2210659.82067882)",24560.94546,30428.81267,33587.77439,27213.76015,32925.3722,36225.45103,33080.77423,36291.80119,34232.20115
4,Appleton US-WI,-88.415759,44.261767,-2.346964771,-2.222120629,-2.959478014,-2.546248443,-2.832636619,-3.304658418,-2.746150001,-2.448995752,-1.844511884,"c(603127.997775089, 2387582.89967085)",24494.43011,25223.18137,24308.15433,24104.5728,26990.86633,30716.28023,23575.13944,27393.0949,33076.31539
5,Ashtabula US-OH,-80.657439,41.894607,1.217928559,0.849129036,0.741276745,0.502874573,0.818031654,0.418357463,1.155233757,1.597081976,1.889899747,"c(1258594.30949479, 2200939.77682691)",28561.35124,30660.519,35528.35272,32973.97129,36698.8683,40067.1702,36475.8056,38295.21276,43598.06951
6,Atlanta US-GA,-84.525,33.85835,5.950216258,5.926439857,5.214242086,4.240745278,4.981454856,5.355036014,5.664584168,5.478794242,6.150852664,"c(1051538.73947945, 1262709.82914107)",48428.11683,49240.01648,44103.90892,53271.24,53969.55277,51214.13269,52521.38208,54151.27471,59210.73748
7,Austin US-TX,-97.698041,30.183391,9.494963181,9.211684966,8.651469323,9.144854342,8.66351684,9.170985576,9.306422863,9.233200252,9.506724037,"c(-163289.485545663, 791188.915325224)",31743.93437,37562.66911,30420.91312,39245.34244,36493.82113,37699.27574,44756.1741,46101.63899,44201.07915
8,Battle Creek US-MI,-85.279465,42.376671,-0.16467085,-0.03955898,-0.346993974,-0.456816248,-0.362409515,-0.739842679,-0.351798006,0.042371845,0.398852503,"c(875326.756378953, 2202462.55342862)",30780.66493,33667.47515,34805.91076,33312.50898,36857.36642,38898.84625,39274.00784,43281.95595,42665.0518
9,Bedford County US-PA,-78.591437,40.002554,-0.047585674,-0.132548153,-0.564012793,-0.872103816,0.30062554,-0.525638136,-0.306299959,-0.179660167,0.48203015,"c(1464881.11125357, 2021811.58770608)",33951.67132,37564.80247,39178.87796,32348.35221,45731.86541,38072.02734,41538.05604,41477.87334,44385.12744
10,Bennington US-VT,-73.215509,42.889162,-2.603314404,-3.483570444,-2.799366124,-3.243322851,-3.20948945,-3.645435503,-2.484603174,-2.33574634,-1.689297683,"c(1832883.42456353, 2431097.74930742)",43884.96394,48858.10821,57477.22441,47753.45335,55716.88655,50887.96879,54992.79259,64645.58195,59150.07843
11,Bethlehem-Easton US-PA,-75.316922,40.618447,0.601433182,0.481260949,0.582055386,-0.365851286,0.661273894,0.407773057,0.48274584,0.847086162,1.413682635,"c(1721511.60067539, 2144338.99556234)",41289.76359,44178.11352,52950.04344,40456.94372,53875.27701,44866.10374,51581.60555,59154.55166,52622.48892
12,Blacksburg US-VA,-80.4428585,37.2243005,0.95998195,1.207786379,0.741733191,-0.030380374,0.639436186,0.680980953,0.760582175,1.059660317,1.541583562,"c(1361312.72322178, 1687564.44820979)",36408.55879,35627.87792,35065.28151,37240.34315,44141.7687,38972.16446,36201.71558,40062.29385,44957.19452
13,Block Island US-RI,-71.5722155,41.1995475,2.619157714,2.336685206,3.236188259,2.552507411,3.238688698,2.804406918,3.477049918,3.610236341,4.397782031,"c(2010298.74931153, 2281133.55149915)",20909.50043,21887.55288,24027.5232,23122.41185,23800.4432,22907.09996,22033.73551,25039.05463,24784.84845
14,Bowling Green US-KY,-86.4359,36.9159,3.495995332,3.264001221,2.316870839,2.027135993,2.889919302,2.831867216,3.322700897,3.270757216,3.331202681,"c(842700.616085694, 1583773.36461675)",41813.4277,49144.41113,48127.64508,45648.66483,59396.44816,55496.20298,55038.41231,57291.29627,55910.95884
15,Brevard US-NC,-82.66850367,35.161071,2.734527922,2.90724922,2.21507127,1.868864195,2.636332831,2.645937382,2.716734994,2.719213856,3.037080539,"c(1200255.26612345, 1429149.49822304)",69650.29104,68790.37698,64230.3533,72485.13792,82647.33985,73937.98517,75575.27523,71598.39449,85464.67981
16,Bristol US-CT,-72.9495,41.6718,-0.2949378,-0.925748721,0.213904742,-0.813324083,-0.247473694,-0.723038344,-0.209392904,0.189761467,0.849008122,"c(1886558.69871896, 2304114.98267435)",45373.49585,51746.85989,65089.66854,50045.12878,59952.25074,56565.40087,63932.02697,63279.55727,59778.08556
17,Buckeye Lake US-OH,-82.483302,39.933308,0.487681151,0.57581397,-0.237794545,-0.569613214,0.459987613,0.19298631,0.440695878,0.543225078,1.100637119,"c(1141025.19670177, 1960786.67201671)",31180.96513,33303.73768,34325.10295,32773.415,38172.82599,41753.59045,37027.96262,42892.52775,45180.18012
18,Buffalo US-NY,-78.965066,43.001569,0.530731582,0.652296482,0.840743335,0.508022141,0.980296134,0.533068975,1.107303247,1.28460829,1.736537758,"c(1373944.53884438, 2346349.93063281)",20187.18322,24753.66771,26368.87072,23081.02251,28510.64271,29168.97401,26551.64341,29970.79631,30515.24843
19,Cadiz US-OH,-81.084681,40.299181,0.438358311,0.668338469,0.070458956,-0.342533435,0.598409484,0.374730176,0.746917083,1.082241439,1.622254138,"c(1251758.81429643, 2018930.16861279)",31321.90184,35166.07241,33798.08914,31977.02345,38799.02778,40607.87321,37536.16253,40352.40046,47506.27182
20,Chapel Hill US-NC,-79.055768,35.913143,4.304326547,4.09840831,3.409808727,2.726926904,3.341597911,3.416498124,3.976134391,4.223382247,4.573020081,"c(1507502.9391988, 1563760.93690434)",40480.68716,42700.22811,43077.08594,39667.32903,47151.36531,47181.25239,45855.15648,46325.99509,48686.09638
21,Charleston US-WV,-81.7071265,38.3560005,1.640270898,1.787593395,1.241723367,0.763263583,1.844913732,1.505827214,1.599089034,1.717433138,2.099437026,"c(1232552.637492, 1795589.33705984)",34274.33545,37928.93457,36757.12521,38579.70278,47489.4642,46266.96426,40934.14872,44360.45537,50929.01909
22,Charlottesville US-VA,-78.566692,38.066769,3.025607752,3.095467858,2.607987202,1.843816594,2.954452435,2.231055164,2.361554407,2.548106245,3.090386644,"c(1506516.3278986, 1808878.24313362)",40564.12865,42930.88904,43215.98555,39609.58425,57315.08165,45900.157,48199.11475,50270.24089,49808.40344
23,Chester US-SC,-81.2167,34.7,4.722252843,5.112056826,4.226684136,3.760012278,4.977044675,4.674573872,4.494434808,4.548265583,4.954561096,"c(1337951.7136183, 1397516.12677239)",42383.6949,43320.12361,36758.15632,38776.14555,45969.77966,46674.14561,49352.0948,41561.73927,48205.10259
24,Cleveland US-OH,-81.503854,41.572297,1.553762042,1.762237404,1.403464842,1.137413556,1.286803283,1.085823071,1.77358344,1.981268859,2.258284918,"c(1195195.73348779, 2154390.3518753)",24277.45141,28116.89695,32344.7725,29062.41513,33358.55413,35788.5171,33123.67984,35636.06741,41405.01704
25,Columbia US-MO,-92.334835,38.891544,1.815921628,1.869235502,1.114436484,1.436366954,1.607496697,0.864833667,1.950259513,1.824203052,2.156537069,"c(314868.789841925, 1768826.57583421)",34698.0661,39506.45742,26803.93712,32755.2346,38127.56099,47600.59084,38383.79735,41877.83594,40872.55449
26,Columbus US-OH,-82.931537,39.985106,1.10152794,1.237575558,0.45998371,0.041803081,0.958555681,0.673847288,1.244272347,1.370822436,1.622395916,"c(1102634.33964604, 1961242.65710761)",30231.07487,32686.8942,33094.35339,31630.32285,37383.40374,40856.78494,36400.26171,41429.74103,45218.48426
27,Danforth US-ME,-67.8667,45.65,-4.917762634,-5.134570546,-3.95393019,-4.523076477,-5.406634578,-5.356998299,-4.607771912,-3.862234278,-3.404147516,"c(2162005.1943958, 2840368.15435845)",40772.42147,41556.29611,48986.6734,50672.74623,46642.27989,42904.97256,45652.89357,58619.83404,62877.38729
28,Davenport US-IA,-90.513245,41.552176,-0.165758721,-0.013869484,-0.707187019,-0.390979201,-0.613445025,-1.267609125,-0.525459479,-0.599510101,-0.450059085,"c(454015.356543168, 2073915.08191025)",27498.10254,27803.63274,27044.77923,27910.66394,29297.24563,35375.00419,30658.84071,29816.70802,33564.3804
29,Dayton US-OH,-84.179447,39.819951,1.085246799,1.462771453,0.845759029,0.490524032,1.052782767,0.461820027,1.220972357,1.301161196,1.522925516,"c(1000211.94762861, 1929088.06032789)",33564.59553,34855.12626,35907.00039,32401.29884,39110.09019,43008.32688,37808.35118,43646.15816,46718.62303
30,Des Moines US-IA,-93.703668,41.600393,-1.044357668,-0.672474486,-1.532601669,-1.261951385,-1.798180338,-2.206428159,-1.495889093,-1.55218698,-1.055750143,"c(189972.500260279, 2068496.61070561)",23733.26218,25240.45238,17948.82185,18731.83002,27424.39294,27868.47797,24002.89534,25634.05882,26466.55881
31,Detroit US-MI,-83.551042,42.721341,-0.574622412,-0.156189883,-0.457354123,-0.446004732,-0.265032805,-0.752697504,-0.273226817,-0.366862864,-0.001759287,"c(1010667.36903691, 2257858.12671306)",25552.71305,30932.25787,33411.11604,26014.37238,33796.0345,35159.58676,32398.88786,36435.87877,33533.88175
32,Erie US-PA,-80.033301,42.083311,0.646984107,0.695512033,0.344603602,-0.116549737,0.400682777,0.084436163,0.903221753,0.985316996,1.372996686,"c(1305791.10367045, 2230184.22459409)",34503.77976,36238.41673,41444.76956,38766.59239,43934.64684,47127.3002,43824.03759,44816.92836,49167.72727
33,Fargo-Moorhead US-ND,-96.832898,46.934002,-7.267910021,-6.38038248,-6.480761703,-6.522574455,-7.165381808,-7.359080331,-6.359880644,-5.536502478,-5.744359794,"c(-63702.8275195907, 2660665.79832421)",11991.67295,13480.05418,11832.36737,10907.43048,15776.69323,15609.42998,15423.29748,20650.89469,15974.57819
34,Fayetteville US-AR,-94.171866,36.056639,3.899225642,3.788001184,2.59355325,3.199632139,3.219215701,2.920361067,3.54656185,3.340973042,3.589466943,"c(163192.1301749, 1446649.98177708)",43881.69313,49535.11463,36513.11904,40732.75018,51397.90177,56789.09979,58232.33307,45888.85884,49033.37339
